"bill_depth","bill_length","wing_length","location","mass","sex","ID"
21.5,38.7913907284768,194,"loc_1",4200,"1",495
18.9,NA,NA,"loc_2",3950,"1",22
18.5,NA,202,"loc_1",3875,"1",291
19.8,48.8338235294118,207,NA,4000,"1",297
18.9821138211382,38.2593070487805,NA,"loc_1",5050,"1",208
18.9821138211382,38.2593070487805,NA,"loc_2",4700,NA,525
16.3,51.1,220,"loc_2",6000,"1",342
16.9,NA,NA,"loc_2",3150,"0",57
15.4,46.8,215,"loc_2",5150,"1",10
18.9821138211382,38.2593070487805,NA,"loc_2",5400,NA,439
21.1,NA,NA,"loc_3",4150,"1",406
14.5,45.1,207,"loc_2",5050,"0",248
17,NA,NA,"loc_2",3600,"0",365
14.7,41.7,210,"loc_2",4700,"0",153
17.9,NA,NA,"loc_2",3200,"0",499
17.3,48.8338235294118,187,"loc_3",3350,NA,83
18,NA,NA,"loc_1",3250,"0",434
14.9821138211382,38.2593070487805,NA,"loc_3",5200,"0",245
16.4,48.1,199,"loc_3",3325,"0",493
18.9,NA,NA,"loc_3",3900,"1",218
15,50.7,223,"loc_2",5550,"1",215
15.6,48.2,221,"loc_2",5100,"1",539
13.8,45.2,215,"loc_2",4750,"0",276
17.8,48.8338235294118,198,"loc_1",3950,"0",169
19.2,NA,193,"loc_3",3650,"1",509
14.3,46.8,215,"loc_2",4850,"0",71
19,NA,197,"loc_2",4775,"1",61
18.6,NA,193,"loc_2",2925,"0",352
17.1,44.1182007284768,193,"loc_3",3400,"0",435
18.9821138211382,47.5048780487805,217.186991869919,"loc_3",4950,"0",483
15.7,49.3,217,"loc_2",5850,"1",383
18.6,NA,NA,"loc_3",3500,"0",155
15.6,52.5,221,"loc_2",5450,"1",460
18.3,47.6,195,"loc_3",3850,"0",328
17.1,NA,191,"loc_1",3050,"0",304
18.4,38.7913907284768,184,"loc_3",3475,NA,60
14.5,45.5,212,"loc_2",4750,"0",449
16.3,48.4,220,"loc_2",5400,"1",36
15.9,50.5,222,"loc_2",5550,"1",375
16.5,46.8,189,"loc_3",3650,"0",412
14.5,46.2,209,"loc_2",4800,"0",19
17.1,NA,190,"loc_3",3575,"0",137
14.9821138211382,47.5048780487805,193.186991869919,"loc_2",5250,NA,126
13.7,45.5,214,"loc_2",4650,"0",158
19.8,55.8,207,"loc_3",4000,"1",319
18.9821138211382,47.5048780487805,NA,"loc_3",5800,NA,116
16.6,55.5123355294118,192,"loc_3",2700,"1",529
14.9821138211382,47.5048780487805,NA,NA,5250,"1",102
17,44.1182007284768,181,"loc_2",3175,NA,214
15.7,54.3,231,"loc_2",5650,"1",314
14.5,47.6,215,"loc_2",5400,"1",390
19.9,53.5,205,"loc_3",4500,"1",85
14.4,46.5,217,"loc_2",4900,"0",453
20.3,NA,191,"loc_2",4600,"1",160
17.9,55.5123355294118,196,"loc_2",3675,"0",77
18.9821138211382,38.2593070487805,NA,"loc_1",5550,"1",17
18,44.1182007284768,192,"loc_2",3950,"1",462
17.8,NA,193,"loc_3",3800,"0",262
14.9821138211382,47.5048780487805,NA,"loc_1",4400,"1",442
17.9,NA,195,"loc_3",3300,"0",130
19.5,44.1182007284768,197,"loc_2",4275,NA,181
19.3,NA,NA,"loc_1",3450,"0",267
14.9821138211382,47.5048780487805,217.186991869919,"loc_3",4575,NA,316
18.9821138211382,38.2593070487805,217.186991869919,"loc_3",4850,"1",356
15.5,44.1182007284768,188,"loc_3",3050,NA,163
19.1,NA,NA,"loc_2",4100,"1",228
19.2,NA,197,"loc_1",3500,"1",277
16.1,NA,NA,"loc_1",3550,"0",426
20.7,52,210,"loc_3",4800,"1",457
18.9821138211382,38.2593070487805,NA,NA,4950,NA,134
20.5,NA,199,"loc_1",3775,"1",265
14.3,50.2,218,"loc_2",5700,"1",427
17.8,48.8338235294118,191,"loc_3",3700,"0",464
16.1,49.5,224,"loc_2",5650,"1",249
15.8,45.2,215,"loc_2",5300,"1",503
18,NA,NA,"loc_2",3950,"1",40
19.1,NA,NA,"loc_2",3750,"1",29
19,50.8,210,"loc_3",4100,"1",492
14.9821138211382,47.5048780487805,NA,"loc_1",4200,"0",185
14.5,45.1,215,"loc_2",5000,"0",542
17.5,NA,NA,"loc_2",3550,"0",294
17,NA,188,"loc_1",2900,"0",88
19.2,NA,NA,"loc_3",3950,"1",461
17.3,NA,185,"loc_3",3700,"0",363
18.1,NA,193,"loc_3",3750,"1",475
14.9821138211382,38.2593070487805,NA,"loc_2",5700,"1",403
18.4,NA,NA,"loc_1",3325,"0",466
14.9821138211382,47.5048780487805,NA,"loc_2",6050,"1",335
21.2,44.1182007284768,191,"loc_1",3800,NA,86
15,47.7,216,"loc_2",4750,"0",142
19.7,55.5123355294118,203,"loc_1",4050,"0",407
18.7,NA,NA,"loc_2",3600,"1",419
20.6,38.7913907284768,190,"loc_1",3650,NA,147
17.8,48.8338235294118,181,"loc_2",3700,"0",530
14.9821138211382,38.2593070487805,NA,"loc_3",5850,"0",527
14.9821138211382,47.5048780487805,NA,"loc_1",4200,NA,188
19.4,45.6,194,"loc_3",3525,"0",410
18.9821138211382,38.2593070487805,NA,"loc_3",4875,NA,355
18.8,38.7913907284768,187,"loc_1",3800,"0",26
19.4,NA,NA,"loc_1",4450,"1",425
14.2,42.8,209,"loc_2",4700,"0",430
15,50.1,225,"loc_2",5000,"1",484
14.1,46.2,217,"loc_2",4375,"0",28
19.1,48.8338235294118,196,"loc_3",3550,"0",354
17.3,50.8,228,"loc_2",5600,"1",543
16.8,NA,NA,"loc_1",3700,"0",296
19.5,NA,NA,"loc_2",4050,"1",323
15.3,47.3,222,"loc_2",5250,"1",471
18.9821138211382,38.2593070487805,217.186991869919,"loc_1",4650,"0",465
15.7,50.8,226,"loc_2",5200,"1",189
13.7,45.3,210,"loc_2",4300,"0",377
19,55.5123355294118,210,NA,4100,NA,196
14.9821138211382,38.2593070487805,NA,"loc_1",5700,"1",376
18.6,55.5123355294118,190,"loc_3",3450,"1",84
19,55.5123355294118,197,"loc_1",4150,NA,489
17.6,NA,NA,"loc_1",3200,"0",250
15,48.5,219,"loc_2",4850,"0",477
18.9821138211382,38.2593070487805,NA,"loc_2",4200,NA,468
14.9821138211382,47.5048780487805,NA,NA,4450,NA,281
18.9821138211382,47.5048780487805,217.186991869919,NA,4875,"0",440
16,48.6,230,"loc_2",5800,"1",357
17.6,38.7913907284768,182,"loc_1",3200,"1",175
16.8,47.5,199,"loc_3",3900,"0",30
17,NA,190,"loc_3",3725,"1",496
17.5,55.5123355294118,187,"loc_2",3650,"0",404
19.9,48.8338235294118,203,NA,4050,"0",49
18.9821138211382,38.2593070487805,193.186991869919,"loc_2",4625,NA,345
14.1,48.5,220,"loc_2",5300,"1",80
20.3,NA,194,"loc_3",3775,"1",73
19.5,38.7913907284768,190,"loc_3",3800,"1",148
19.4,NA,193,"loc_3",3800,"1",12
14.5,43.2,208,"loc_2",4450,"0",293
21.1,NA,NA,"loc_1",4400,"1",337
16.8,49.8,230,"loc_2",5700,"1",532
14.9821138211382,47.5048780487805,NA,"loc_2",4400,NA,303
15,46.4,216,"loc_2",4700,"0",416
19.4,48.8338235294118,193,"loc_2",3800,NA,166
18.8,50.2,202,"loc_3",3800,"1",338
17.2,NA,187,"loc_1",3150,"0",350
14.9821138211382,38.2593070487805,NA,"loc_3",5050,NA,396
NA,NA,NA,"loc_1",NA,"",146
14.9821138211382,47.5048780487805,NA,NA,4600,"1",107
17,52.1,230,"loc_2",5550,"1",240
18,38.7913907284768,210,"loc_1",4000,"1",31
15.8,53.4,219,"loc_2",5500,"1",6
19.6,48.8338235294118,201,"loc_1",4050,"1",263
18.8,NA,NA,"loc_1",3800,"0",397
14.6,47.4,212,"loc_2",4725,"0",534
14.9821138211382,47.5048780487805,NA,NA,5600,"1",43
14.2,46.6,210,"loc_2",4850,"0",395
17.5,NA,191,"loc_3",3175,"0",171
16.5,NA,198,"loc_2",3825,"0",39
17.4,NA,NA,"loc_1",3800,"0",522
14.9821138211382,38.2593070487805,193.186991869919,NA,5000,"0",216
14.4,43.4,218,"loc_2",4600,"0",235
18.3,55.5123355294118,195,"loc_2",3850,"1",502
14,43.3,208,"loc_2",4575,"0",58
17.7,NA,NA,"loc_2",3500,"0",535
19.5,44.1182007284768,200,"loc_2",4050,"1",225
16,49.6,225,"loc_2",5700,"1",380
14.6,46.9,222,"loc_2",4875,"0",170
18.5,NA,NA,"loc_3",4100,"1",76
20.8,55.5123355294118,201,"loc_1",4300,"0",63
17,59.6,230,"loc_2",6050,"1",344
18.2,49.6,193,"loc_3",3775,"1",418
14.9821138211382,47.5048780487805,217.186991869919,NA,5500,NA,478
20,NA,190,"loc_2",3900,"1",70
14.9821138211382,38.2593070487805,NA,"loc_3",5100,NA,59
17.9,NA,NA,"loc_2",3450,"0",490
18.7,48.8338235294118,198,"loc_1",3775,"0",292
14.9821138211382,47.5048780487805,NA,"loc_3",4900,"1",203
18.1,44.1182007284768,205,"loc_3",4300,"1",227
17.1,38.7913907284768,186,"loc_1",3300,"1",243
19.9,NA,198,"loc_3",3700,"1",65
20,48.8338235294118,197,"loc_2",3300,"0",536
17.3,48.8338235294118,185,"loc_2",3700,"1",339
14.9821138211382,38.2593070487805,NA,"loc_2",5550,NA,381
13.9,45.5,210,"loc_2",4200,"0",204
17.2,NA,199,"loc_2",3750,"0",285
14.1,48.7,210,"loc_2",4450,"0",95
13.6,44,208,"loc_2",4350,"0",289
18.5,NA,NA,"loc_3",4350,"1",266
18.8,38.7913907284768,190,"loc_3",4600,NA,205
18.5,NA,NA,"loc_1",4250,"1",104
14.9821138211382,47.5048780487805,NA,"loc_1",5000,NA,210
16.3,50,230,"loc_2",5700,"1",159
19,NA,197,"loc_3",4150,"1",66
17.5,NA,NA,"loc_1",3700,"0",423
14.9821138211382,47.5048780487805,NA,"loc_1",4150,"0",89
18.4,NA,NA,"loc_1",3900,"1",309
16.7,42.5,187,"loc_3",3350,"0",415
14.9821138211382,47.5048780487805,NA,NA,4100,NA,528
19.7,50.7,203,"loc_3",4050,"1",334
17.8,NA,198,"loc_3",3950,"0",451
18.9821138211382,38.2593070487805,NA,NA,5800,"0",220
18.9821138211382,38.2593070487805,193.186991869919,"loc_2",4975,"1",459
14.9821138211382,47.5048780487805,NA,"loc_2",4550,"0",15
18.6,NA,NA,"loc_2",3700,"1",254
13.8,47.3,216,"loc_2",4725,"",213
17.8,NA,NA,"loc_3",3300,"0",290
17.6,NA,187,"loc_3",3425,"0",386
14.5,49.1,212,"loc_2",4625,"0",178
14.4,45.1,210,"loc_2",4400,"0",421
15.2,50.5,216,"loc_2",5000,"0",115
18.5,NA,193,"loc_3",3500,"0",165
14.9821138211382,38.2593070487805,193.186991869919,"loc_1",4725,"1",194
17.7,NA,193,"loc_2",3200,"0",230
19.5,NA,196,"loc_3",3900,"1",87
17.3,NA,NA,"loc_3",3300,"0",473
20.1,NA,200,"loc_3",3975,"1",368
16,NA,183,"loc_2",3075,"0",207
15,47.5,218,"loc_2",4950,"0",456
19.9,49.3,203,"loc_3",4050,"1",105
19.3,NA,NA,"loc_3",3300,"0",75
17.2,44.1182007284768,199,"loc_2",3750,NA,280
18.2,55.5123355294118,178,"loc_1",3250,"1",251
19.4,44.1182007284768,198,"loc_1",4450,"1",231
13.8,44.9,212,"loc_2",4750,"0",52
13.3,44.9,213,"loc_2",5100,"0",405
19.2,NA,NA,"loc_2",3800,"0",100
20,NA,NA,"loc_3",3950,"1",409
18.5,38.7913907284768,180,"loc_3",3550,NA,141
14.9821138211382,38.2593070487805,217.186991869919,"loc_2",4375,"1",521
18.4,38.7913907284768,195,"loc_3",3900,"1",467
18.4,48.8338235294118,200,"loc_2",3400,"1",114
14.6,45.8,210,"loc_2",4200,"0",482
18.7,50.2,198,"loc_3",3775,"0",273
14.9821138211382,38.2593070487805,217.186991869919,"loc_2",4700,"1",393
13.1,42.9,215,"loc_2",5000,"0",369
18.3,NA,195,"loc_1",4300,"1",138
16.1,49,216,"loc_2",5550,"1",211
18.6,NA,NA,"loc_2",3150,"0",481
15.4,45,220,"loc_2",5050,"1",399
19,NA,NA,"loc_1",3450,"0",413
17.2,NA,NA,"loc_1",3550,"0",520
19.8,NA,197,"loc_3",3725,"1",330
13.7,47.2,214,"loc_2",4925,"0",122
19.5,48.8338235294118,210,NA,3950,"0",202
19.2,38.7913907284768,197,"loc_1",3500,"0",322
13.9,43.6,217,"loc_2",4900,"0",544
14.9821138211382,38.2593070487805,217.186991869919,"loc_2",5500,"0",99
17.9,38.7913907284768,193,"loc_3",4250,"0",97
17.8,NA,NA,"loc_3",3350,"0",408
20,52.8,205,"loc_3",4550,"1",242
17.9,NA,NA,"loc_3",3450,"0",474
18.1,NA,201,"loc_3",4050,"1",488
14.9821138211382,47.5048780487805,NA,"loc_2",4700,"0",455
17.2,NA,187,"loc_3",3475,"1",174
13.7,42.6,213,"loc_2",4950,"0",458
17.8,NA,NA,"loc_1",3700,"0",42
21.2,NA,NA,"loc_3",4150,"1",176
18,NA,NA,"loc_3",3150,"0",183
17.2,38.7913907284768,180,"loc_2",3800,"0",91
18.6,NA,NA,"loc_3",3700,"0",118
17.1,55.5123355294118,190,NA,3575,"0",74
17.2,NA,NA,"loc_2",3800,"1",387
18.6,38.7913907284768,172,"loc_2",3150,"0",531
18.8,NA,NA,"loc_3",4600,"1",388
18.9821138211382,38.2593070487805,193.186991869919,"loc_1",NA,"1",373
18.9821138211382,47.5048780487805,193.186991869919,"loc_3",5850,NA,324
15.9,50,224,"loc_2",5350,"1",308
18.1,NA,NA,"loc_1",3475,"",353
19.6,NA,NA,"loc_1",4675,"1",53
15.1,48.7,222,"loc_2",5350,"1",286
16.5,NA,185,"loc_3",3400,"0",272
18.9,44.1182007284768,180,"loc_2",3950,NA,261
19.1,NA,NA,"loc_3",4650,"1",295
18.9821138211382,38.2593070487805,193.186991869919,"loc_3",5950,"1",283
18.2,55.5123355294118,197,"loc_2",3750,"0",312
17.6,NA,191,"loc_1",3275,"0",329
20,38.7913907284768,190,"loc_3",3950,NA,54
18.6,NA,190,"loc_3",4250,"1",287
18.9821138211382,38.2593070487805,NA,NA,5100,"1",72
17.3,55.5123355294118,193,NA,3600,"0",179
18.9821138211382,47.5048780487805,NA,"loc_2",5700,NA,515
19.2,55.5123355294118,193,"loc_2",3650,NA,16
19.6,NA,201,"loc_3",4050,"1",524
17.8,NA,181,"loc_3",3700,"0",501
16.8,55.5123355294118,199,"loc_2",3900,"1",224
15.7,48.7,208,"loc_2",5350,"1",537
19.4,NA,NA,"loc_1",4200,"1",164
18.6,NA,190,"loc_3",3450,"0",13
15.6,46.4,221,"loc_2",5000,"1",125
16.6,45.2,191,"loc_3",3250,"0",14
18.5,44.1182007284768,196,"loc_3",4350,NA,523
19,44.1182007284768,197,"loc_2",4775,"1",433
18.9821138211382,38.2593070487805,193.186991869919,"loc_2",4875,"0",64
18.2,48.8338235294118,195,"loc_2",4400,"1",33
15,47.8,215,"loc_2",5650,"1",384
14.9821138211382,38.2593070487805,NA,NA,4350,"0",152
18.9,NA,NA,"loc_2",3800,"0",78
14.9821138211382,38.2593070487805,217.186991869919,"loc_2",4850,"0",325
17.3,42.5,187,"loc_3",3350,"0",517
14.9821138211382,47.5048780487805,NA,"loc_1",5050,"1",120
18.9821138211382,38.2593070487805,NA,"loc_2",5300,"0",223
14.9821138211382,47.5048780487805,NA,"loc_2",4750,"0",450
18.9821138211382,47.5048780487805,NA,"loc_3",4700,NA,143
17.8,NA,195,"loc_3",3450,"0",239
17,NA,NA,"loc_3",3325,"0",111
18.7,NA,185,"loc_3",3650,"1",302
15.3,50,220,"loc_2",5550,"1",226
18.9821138211382,38.2593070487805,NA,NA,5650,NA,506
18.9821138211382,47.5048780487805,NA,"loc_3",4400,"1",508
18,NA,NA,"loc_3",3550,"0",177
17.1,NA,NA,"loc_1",3300,"",127
21.1,NA,NA,"loc_2",4400,"1",514
15,49.1,228,"loc_2",5500,"1",486
17.1,44.1182007284768,187,"loc_3",3700,"1",498
18.4,NA,184,"loc_3",3475,"0",18
18.9821138211382,47.5048780487805,NA,"loc_2",4625,NA,168
19.1,50.9,196,"loc_3",3550,"1",237
17,55.9,228,"loc_2",5600,"1",20
18.4,NA,NA,"loc_3",3900,"1",306
18.9821138211382,38.2593070487805,217.186991869919,NA,4750,"1",191
18,44.1182007284768,182,"loc_3",3150,NA,349
18.1,NA,NA,"loc_3",4300,"1",3
18.1,44.1182007284768,178,"loc_3",3900,NA,519
19,51.4,201,"loc_3",3950,"1",361
14.2,43.5,220,"loc_2",4700,"0",401
16.6,55.5123355294118,187,"loc_1",3200,"1",389
16.2,49.5,229,"loc_2",5800,"1",341
15.9,NA,186,"loc_1",3050,"0",438
20.2,38.7913907284768,190,"loc_1",4250,"1",154
19.7,NA,NA,"loc_3",4400,"1",67
15.5,NA,188,"loc_3",3050,"0",351
14.2,51.3,218,"loc_2",5300,"1",206
16.1,49.9,213,"loc_2",5400,"1",21
17.1,52.2,228,"loc_2",5400,"1",34
14.2,47.5,209,"loc_2",4600,"0",500
15.2,43.5,213,"loc_2",4650,"0",50
13.7,40.9,214,"loc_2",4650,"0",513
20.7,NA,NA,"loc_1",4500,"1",238
16.6,NA,NA,"loc_1",3050,"0",417
14.6,45.4,211,"loc_2",4800,"0",432
14.8,49.1,220,"loc_2",5150,"0",271
17.5,48.8338235294118,191,NA,3400,"1",94
19.5,51.9,206,"loc_3",3950,"1",252
18.9821138211382,38.2593070487805,NA,"loc_3",5200,NA,278
17.2,NA,NA,"loc_1",3200,"0",200
17.6,44.1182007284768,196,"loc_1",4700,"1",504
17.5,46.2,187,"loc_3",3650,"0",444
16,55.1,230,"loc_2",5850,"1",187
17,44.1182007284768,195,"loc_3",3325,NA,35
18.5,NA,NA,"loc_3",3550,"0",233
17,45.7,195,"loc_3",3650,"0",540
17,NA,189,"loc_1",3350,"0",68
17.3,45.7,193,"loc_3",3600,"0",299
19.5,48.8338235294118,206,"loc_1",3950,"0",192
15,45.5,220,"loc_2",5000,"1",480
16.1,NA,NA,"loc_3",2900,"0",11
15.9,49.8,229,"loc_2",5950,"1",149
16.2,44.1182007284768,195,"loc_2",3350,"0",448
17.5,NA,191,"loc_3",3400,"1",346
14.9821138211382,47.5048780487805,NA,NA,5650,"1",93
13.9,43.8,208,"loc_2",4300,"0",241
18.5,50.8,201,"loc_3",4450,"1",236
18.3,NA,196,"loc_2",4075,"1",186
16.5,48.8338235294118,189,"loc_3",3650,"1",172
14.9821138211382,38.2593070487805,193.186991869919,"loc_1",5750,"0",332
14.9821138211382,47.5048780487805,NA,"loc_3",4600,"1",229
18.7,NA,NA,"loc_1",3750,"1",526
19.1,NA,NA,"loc_1",4000,"1",370
17.6,NA,NA,"loc_1",4700,"1",268
17.3,44.4,219,"loc_2",5250,"1",25
18.6,NA,189,"loc_1",3325,"1",497
20,38.7913907284768,190,"loc_2",4250,"0",274
15.2,50,218,"loc_2",5700,"1",90
20,55.5123355294118,205,"loc_1",4550,"0",173
14.9821138211382,47.5048780487805,NA,"loc_2",4650,"1",505
18.1,NA,NA,"loc_2",2900,"0",359
14.9821138211382,47.5048780487805,NA,"loc_1",5250,NA,436
17,NA,176,"loc_1",3450,"0",320
17.3,48.8338235294118,198,NA,3675,"0",437
19.6,49,212,"loc_3",4300,"1",128
18.9821138211382,47.5048780487805,NA,"loc_1",4750,"1",315
17.2,44.1182007284768,187,"loc_3",3475,NA,106
18.1,43.5,202,"loc_3",3400,"0",428
15.1,46.1,215,"loc_2",5100,"1",23
17.9,55.5123355294118,192,NA,3500,"1",244
14.2,45.8,219,"loc_2",4700,"0",24
18.9821138211382,38.2593070487805,217.186991869919,NA,6000,"1",1
18.9821138211382,38.2593070487805,NA,NA,4300,"0",135
19,NA,200,"loc_3",3800,"1",113
18.6,49.7,195,"loc_3",3600,"1",391
14.8,46.5,217,"loc_2",5200,"0",51
17.5,NA,190,"loc_3",3900,"1",112
18.9821138211382,47.5048780487805,NA,"loc_2",5000,"0",198
14.5,46.5,213,"loc_2",4400,"0",367
14,47.5,212,"loc_2",4875,"0",157
19,NA,NA,"loc_3",3425,"1",452
17,48.8338235294118,196,NA,3500,"1",45
17.1,NA,193,"loc_3",3400,"0",398
19.4,NA,NA,"loc_1",3900,"1",156
16.6,55.5123355294118,187,"loc_2",2900,NA,47
18.9,NA,NA,"loc_3",4300,"1",92
